Date,Open,High,Low,Close
4/22/2024,"22,336.90","22,375.65","22,198.15","22,336.40"
4/19/2024,"21,861.50","22,179.55","21,777.65","22,147.00"
4/18/2024,"22,212.35","22,326.50","21,961.70","21,995.85"
4/16/2024,"22,125.30","22,213.75","22,079.45","22,147.90"
4/15/2024,"22,339.05","22,427.45","22,259.55","22,272.50"
4/12/2024,"22,677.40","22,726.45","22,503.75","22,519.40"
4/10/2024,"22,720.25","22,775.70","22,673.70","22,753.80"
4/9/2024,"22,765.10","22,768.40","22,612.25","22,642.75"
4/8/2024,"22,578.35","22,697.30","22,550.35","22,666.30"
4/5/2024,"22,486.40","22,537.60","22,427.60","22,513.70"
4/4/2024,"22,592.10","22,619.00","22,303.80","22,514.65"
4/3/2024,"22,385.70","22,521.10","22,346.50","22,434.65"
4/2/2024,"22,458.80","22,497.60","22,388.15","22,453.30"
4/1/2024,"22,455.00","22,529.95","22,427.75","22,462.00"
3/28/2024,"22,163.60","22,516.00","22,163.60","22,326.90"
3/27/2024,"22,053.95","22,193.60","22,052.85","22,123.65"
3/26/2024,"21,947.90","22,073.20","21,947.55","22,004.70"
3/22/2024,"21,932.20","22,180.70","21,883.30","22,096.75"
3/21/2024,"21,989.90","22,080.95","21,941.30","22,011.95"
3/20/2024,"21,843.90","21,930.90","21,710.20","21,839.10"
3/19/2024,"21,946.45","21,978.30","21,793.10","21,817.45"
3/18/2024,"21,990.10","22,123.70","21,916.55","22,055.70"
3/15/2024,"22,064.85","22,120.90","21,931.70","22,023.35"
3/14/2024,"21,982.55","22,204.60","21,917.50","22,146.65"
3/13/2024,"22,432.20","22,446.75","21,905.65","21,997.70"
3/12/2024,"22,334.45","22,452.55","22,256.00","22,335.70"
3/11/2024,"22,517.50","22,526.60","22,307.25","22,332.65"
3/7/2024,"22,505.30","22,525.65","22,430.00","22,493.55"
3/6/2024,"22,327.50","22,497.20","22,224.35","22,474.05"
3/5/2024,"22,371.25","22,416.90","22,269.15","22,356.30"
3/4/2024,"22,403.50","22,440.90","22,358.30","22,405.60"
3/1/2024,"22,048.30","22,353.30","22,047.75","22,338.75"
2/29/2024,"21,935.20","22,060.55","21,860.65","21,982.80"
2/28/2024,"22,214.10","22,229.15","21,915.85","21,951.15"
2/27/2024,"22,090.20","22,218.25","22,085.65","22,198.35"
2/26/2024,"22,169.20","22,202.15","22,075.15","22,122.05"
2/23/2024,"22,290.00","22,297.50","22,186.10","22,212.70"
2/22/2024,"22,081.55","22,252.50","21,875.25","22,217.45"
2/21/2024,"22,248.85","22,249.40","21,997.95","22,055.05"
2/20/2024,"22,099.20","22,215.60","22,045.85","22,196.95"
2/19/2024,"22,103.45","22,186.65","22,021.05","22,122.25"
2/16/2024,"22,020.30","22,068.65","21,968.95","22,040.70"
2/15/2024,"21,906.55","21,953.85","21,794.80","21,910.75"
2/14/2024,"21,578.15","21,870.85","21,530.20","21,840.05"
2/13/2024,"21,664.30","21,766.80","21,543.35","21,743.25"
2/12/2024,"21,800.80","21,831.70","21,574.75","21,616.05"
2/9/2024,"21,727.00","21,804.45","21,629.90","21,782.50"
2/8/2024,"22,009.65","22,011.05","21,665.30","21,717.95"
2/7/2024,"22,045.05","22,053.30","21,860.15","21,930.50"
2/6/2024,"21,825.20","21,951.40","21,737.55","21,929.40"
2/5/2024,"21,921.05","21,964.30","21,726.95","21,771.70"
2/2/2024,"21,812.75","22,126.80","21,805.55","21,853.80"
2/1/2024,"21,780.65","21,832.95","21,658.75","21,697.45"
1/31/2024,"21,487.25","21,741.35","21,448.85","21,725.70"
1/30/2024,"21,775.75","21,813.05","21,501.80","21,522.10"
1/29/2024,"21,433.10","21,763.25","21,429.60","21,737.60"
1/25/2024,"21,454.60","21,459.00","21,247.05","21,352.60"
1/24/2024,"21,185.25","21,482.35","21,137.20","21,453.95"
1/23/2024,"21,716.70","21,750.25","21,192.60","21,238.80"
